#{"t_start": 1765055502.0717697, "env_id": "None"}
r,l,t
108793.399841,90,46.55259
101109.07568,90,46.652498
-115562.348751,90,46.758793
79998.676521,90,46.866565
74490.580627,90,46.981399
3565.67169,90,47.078842
85328.33889,90,47.18895
23207.900015,90,47.297003
-43713.227501,90,47.408608
212318.422237,90,47.515633
221863.802941,90,47.615944
-59886.092688,90,47.715422
24379.413696,90,47.822978
65566.312694,90,47.943442
116503.574047,90,48.055816
156418.693665,90,48.155387
74739.77993,90,48.275785
-49244.363605,90,48.374693
164556.873741,90,48.483677
144865.75956,90,48.580695
68365.782595,90,48.687527
21377.794833,90,48.787185
-41589.943703,90,48.8889
-12801.045641,90,48.98495
34839.460953,90,49.097787
298268.092949,90,49.198605
65292.244934,90,49.308885
87958.366768,90,49.409807
-75775.254243,90,49.518282
78065.473227,90,49.621641
174771.303192,90,49.727314
91285.154633,90,49.823538
-17758.398872,90,49.941565
-142414.463398,90,50.047246
35302.437374,90,50.161191
18848.412472,90,50.265534
-34607.019371,90,50.380807
7335.64878,90,50.477418
299261.913664,90,50.595719
172580.500092,90,50.698308
-17339.258482,90,50.807544
12666.825651,90,50.918324
50196.330757,90,51.027034
134234.366798,90,51.139518
138603.345673,90,51.25984
45028.772758,90,51.371574
-9178.954361,90,51.489394
31888.600895,90,51.592606
40516.866924,90,51.706657
-13991.508527,90,51.815368
-23053.421494,90,51.936313
93222.051462,90,52.049968
136581.963989,90,52.167809
-97343.13538,90,52.282557
4058.705305,90,52.392354
115104.897644,90,52.501505
63720.195765,90,52.622521
253742.667645,90,52.732815
134173.940582,90,52.843257
-592.966133,90,52.960188
-53937.482849,90,53.095382
26805.211928,90,53.209372
-48263.071198,90,53.33016
93986.87534,90,53.444793
162076.843002,90,53.55536
-28940.750357,90,53.662369
15524.939625,90,53.777261
-93460.094627,90,53.884677
45507.686188,90,54.006727
80568.428421,90,54.117135
96021.747469,90,54.232941
111424.597679,90,54.344379
132536.287994,90,54.456573
3578.093918,90,54.562005
-56099.560116,90,54.67697
83455.769737,90,54.780735
263748.793049,90,54.895937
155240.337503,90,55.014349
378385.346146,90,55.124121
18398.835382,90,55.230381
-30462.11956,90,55.352269
265128.305008,90,55.464787
155704.070667,90,55.592092
199925.675748,90,55.698238
69883.244236,90,55.811576
248713.780254,90,55.925125
227615.92186,90,56.11271
52716.136642,90,56.22423
76004.337147,90,56.3469
78430.062016,90,56.455507
92629.966276,90,56.563312
132987.581462,90,56.67174
33257.752563,90,56.786324
154712.819763,90,56.895925
294866.679506,90,57.005692
152685.551266,90,57.113233
-49928.720528,90,57.22755
122389.012093,90,57.338897
34553.85627,90,57.458822
-66152.932602,90,57.735002
46220.049105,90,57.850133
185210.017254,90,57.986444
149049.251503,90,58.114439
34879.870953,90,58.225276
197851.255016,90,58.342446
241972.767776,90,58.453933
126475.950054,90,58.573015
133269.455246,90,58.686688
249992.654064,90,58.797278
6703.535294,90,58.904179
107840.960602,90,59.02398
174632.698311,90,59.125904
148195.538898,90,59.238354
12463.928921,90,59.339923
-10275.369164,90,59.447248
94558.086662,90,59.555389
114315.148949,90,59.665639
100625.716576,90,59.769671
172706.478319,90,59.87715
65817.635805,90,59.989602
84422.082439,90,60.114227
71390.295174,90,60.225987
-76856.794342,90,60.332831
32048.48571,90,60.443239
52254.080539,90,60.565357
21673.008301,90,60.673691
215576.344593,90,60.787867
232770.376896,90,60.897979
141586.806541,90,61.01137
2750.162338,90,61.118108
25636.044182,90,61.232254
-3309.37149,90,61.338376
19149.277343,90,61.457478
89182.622852,90,61.566976
242133.24776,90,61.681465
174544.584885,90,61.787321
98823.408264,90,61.900996
91282.762039,90,62.007159
88129.35186,90,62.122067
51788.032104,90,62.226592
124980.951908,90,62.340218
382142.162323,90,62.44214
162478.370346,90,62.552366
137078.986587,90,62.658199
167764.282715,90,62.777153
267371.878662,90,62.894344
174889.995653,90,63.021679
12401.932106,90,63.128442
150321.758018,90,63.241533
173447.928841,90,63.346463
158588.519608,90,63.460099
-37188.056286,90,63.566159
21695.525711,90,63.686612
-22862.146164,90,63.794081
100273.240252,90,63.903975
131967.832047,90,64.013271
131150.062057,90,64.136209
107378.141068,90,64.241422
87052.850998,90,64.351852
-1457.394562,90,64.455601
-14398.590469,90,64.580302
4530.846298,90,64.690982
68210.705639,90,64.808535
76516.521713,90,64.912881
110530.051926,90,65.040165
2609.890625,90,65.15776
326791.086823,90,65.268058
73935.99629,90,65.380978
196435.72188,90,65.497142
68346.904594,90,65.601432
6876.906166,90,65.722089
70136.55043,90,65.832111
59418.691544,90,65.949628
81759.393097,90,66.061756
191348.833313,90,66.186074
107188.660522,90,66.291332
84721.56118,90,66.464265
160369.290741,90,66.567415
111271.483221,90,66.683554
71154.803242,90,66.798443
158578.87925,90,66.913566
121884.37447,90,67.019681
96478.759087,90,67.148886
159652.374123,90,67.255202
50757.051254,90,67.371338
116573.666882,90,67.478899
200083.735939,90,67.586244
147670.492966,90,67.698951
190017.831558,90,67.819411
265923.044373,90,67.938662
246195.200439,90,68.045632
322031.785919,90,68.149241
113647.223724,90,68.267376
68254.414795,90,68.373945
16418.178867,90,68.492023
1780.781311,90,68.605261
-47340.404099,90,68.723078
100036.836515,90,68.832761
288992.280191,90,68.958797
84477.983372,90,69.071692
68104.879421,90,69.188665
-85318.368835,90,69.292835
-39389.012733,90,69.409045
156118.419647,90,69.522167
262308.27352,90,69.636454
-58514.017532,90,69.742121
-106957.457123,90,69.857951
66948.087742,90,69.972287
-53976.321938,90,70.081707
-30252.079163,90,70.190024
63245.401749,90,70.471791
6632.568356,90,70.578341
58353.032509,90,70.700673
-128203.226212,90,70.81172
49085.462265,90,70.919588
185821.453537,90,71.024558
40175.812843,90,71.140858
-104185.403812,90,71.249332
37344.267874,90,71.372929
102574.985895,90,71.477831
-8169.064663,90,71.590568
134372.458874,90,71.696134
62917.784798,90,71.81133
148468.843361,90,71.91585
-133181.470734,90,72.032398
123213.272842,90,72.13765
-12792.005295,90,72.257247
176148.429209,90,72.371676
14871.823753,90,72.483391
-61218.852005,90,72.589484
173705.850876,90,72.697336
58787.47015,90,72.801611
156146.432556,90,72.929686
57114.514225,90,73.035398
-30776.084961,90,73.146659
-1630.023052,90,73.256551
327083.914371,90,73.388256
268614.671215,90,73.495133
139733.629364,90,73.60966
198287.335686,90,73.719628
41965.309387,90,73.83162
234314.640793,90,73.94248
34163.068115,90,74.057061
-84872.459656,90,74.165257
161794.054382,90,74.282666
-6548.278564,90,74.398239
-53505.000171,90,74.514323
45539.483448,90,74.626976
-75819.789032,90,74.744009
-102504.27626,90,74.854244
-35316.169406,90,74.967985
-94357.658329,90,75.076608
-40400.713882,90,75.201866
-55725.957237,90,75.307057
336633.761787,90,75.491861
-28279.491577,90,75.600378
85500.798939,90,75.71665
41706.182621,90,75.832287
18857.601631,90,75.948748
-26524.556866,90,76.057802
-7997.189705,90,76.16964
49366.376829,90,76.279119
44168.276126,90,76.389414
85940.213745,90,76.495731
-27352.414635,90,76.613125
18650.148814,90,76.724033
11201.972809,90,76.831608
258407.061492,90,76.933852
149618.954536,90,77.064276
45715.897038,90,77.171574
-35265.278324,90,77.287452
146409.233349,90,77.393694
51261.214455,90,77.504151
101840.818008,90,77.614145
85050.720703,90,77.724161
-12537.164078,90,77.828341
-8762.294504,90,77.951045
-19374.641052,90,78.06505
75840.800125,90,78.180375
-58383.744873,90,78.293869
25780.214851,90,78.413357
122027.206158,90,78.519627
233453.459103,90,78.636967
70658.341675,90,78.748262
-92388.64518,90,78.87113
62166.420446,90,78.984507
126872.793232,90,79.103556
139095.696581,90,79.210031
18972.656609,90,79.325526
269074.813525,90,79.432005
172210.194683,90,79.54093
154380.309303,90,79.648908
255441.895721,90,79.765355
227960.566038,90,79.872292
73372.730055,90,79.983303
140895.392216,90,80.096668
28016.156609,90,80.212816
247709.411884,90,80.318558
-16261.802177,90,80.437219
-22973.486134,90,80.549493
88332.831665,90,80.676916
244988.007734,90,80.781549
-87705.197592,90,80.901125
35243.591816,90,81.007792
95761.329806,90,81.115834
115790.747131,90,81.226977
74812.810493,90,81.332215
-34294.531342,90,81.445031
19751.069401,90,81.554049
21617.036194,90,81.663943
29968.532227,90,81.772055
150709.835754,90,81.880357
78194.697081,90,82.002053
-35418.935165,90,82.114868
40390.172302,90,82.240679
108073.157921,90,82.357122
447.705929,90,82.478955
52875.441811,90,82.585871
44671.462452,90,82.701806
315893.708487,90,82.809806
-4139.206808,90,82.930102
-67607.102837,90,83.209531
205817.780411,90,83.322975
373930.032784,90,83.433217
131582.214378,90,83.549012
19251.710768,90,83.65224
47124.81105,90,83.771886
125037.377781,90,83.887273
66597.482906,90,84.027529
-38526.939331,90,84.147779
103011.156887,90,84.283143
143352.570091,90,84.418746
117019.655533,90,84.55865
12.701469,90,84.672136
-68111.732052,90,84.793512
97455.051701,90,84.906203
319237.355103,90,85.021606
57822.331871,90,85.127634
33286.429466,90,85.246804
8569.039074,90,85.353649
250629.818665,90,85.478389
8257.335392,90,85.584334
51839.735004,90,85.758221
-85041.533115,90,85.867769
78377.964115,90,85.993053
-43001.274353,90,86.095561
211554.76136,90,86.215978
90601.263023,90,86.329937
-85177.807499,90,86.447903
185382.396767,90,86.557205
-20075.14402,90,86.672233
-47357.205372,90,86.775437
59244.246613,90,86.896062
44535.754883,90,87.003445
14551.124936,90,87.131663
74326.002884,90,87.236198
114590.901009,90,87.350609
72132.500839,90,87.457535
-41175.315376,90,87.575277
286611.839157,90,87.683014
-431.885023,90,87.800828
113315.832668,90,87.916572
168136.639519,90,88.037284
30272.02652,90,88.14431
71202.254574,90,88.254458
50080.510246,90,88.359554
306661.872973,90,88.484555
111685.338528,90,88.589334
203036.755245,90,88.715539
191339.927681,90,88.816435
128727.904598,90,88.927433
-53978.142567,90,89.038255
-79059.473743,90,89.153415
-11357.777641,90,89.267791
173326.407089,90,89.381956
-119040.576588,90,89.49244
-59640.035515,90,89.606501
142727.333008,90,89.731709
17441.373352,90,89.861884
124124.280117,90,89.98095
96078.194153,90,90.110852
267247.323414,90,90.234533
232559.498375,90,90.372851
41318.477051,90,90.498691
10408.665918,90,90.617355
206163.809456,90,90.720717
259582.290768,90,90.902138
-15343.336755,90,91.019814
101083.66884,90,91.148706
4236.52861,90,91.26809
45350.350643,90,91.387134
32537.739128,90,91.501707
145704.976578,90,91.632708
41562.091187,90,91.752071
-85415.063023,90,91.874139
196850.563231,90,91.988715
27777.818199,90,92.121597
-112979.404394,90,92.304126
1931.18717,90,92.489406
73936.207062,90,92.626773
66969.777687,90,92.755015
69009.861817,90,92.885949
141772.357956,90,93.067248
35552.064125,90,93.18597
37893.61319,90,93.318448
63086.53339,90,93.441846
-27284.929173,90,93.563845
114293.016251,90,93.677646
181117.544731,90,93.794374
47501.302696,90,93.903515
68314.638962,90,94.115919
131984.171913,90,94.247583
80335.47118,90,94.379715
214171.828041,90,94.514886
121043.027489,90,94.667695
-78833.693415,90,94.792712
96309.400978,90,94.919132
165637.004302,90,95.041723
88979.5033,90,95.165253
-19744.777084,90,95.290583
-27250.34795,90,95.41678
118843.14616,90,95.539077
-25838.42001,90,95.681847
145159.949715,90,95.802425
195643.505932,90,95.929759
237441.145081,90,96.04574
131266.088943,90,96.205132
-130641.241135,90,96.338035
-33439.438911,90,96.45736
114228.498276,90,96.569172
91530.832787,90,96.677846
-67409.480789,90,96.783456
270188.795048,90,97.093605
306125.716389,90,97.257421
115557.769146,90,97.374227
33046.578819,90,97.497925
100016.237069,90,97.642735
184915.301849,90,97.750439
114242.489635,90,97.864522
30263.614929,90,98.001204
27943.634655,90,98.114431
-17707.871875,90,98.216584
4851.703499,90,98.331444
210021.956022,90,98.452542
61885.941654,90,98.580342
-97649.835736,90,98.684448
22687.882996,90,98.808037
133099.425323,90,98.922288
70144.482258,90,99.056881
-14586.182491,90,99.174922
124513.797081,90,99.293441
164663.144035,90,99.403249
40392.579323,90,99.520618
84239.7186,90,99.632908
77107.959946,90,99.751832
17394.209324,90,99.858881
-67070.16243,90,99.974812
-94613.841803,90,100.077519
213684.088394,90,100.185318
106446.944944,90,100.288131
-54850.261337,90,100.425185
